ID_time,Nome,Sigla,Imagem_Url
1765,Fluminense,FLU,https://crests.football-data.org/1765.png
1766,Mineiro,CAM,https://crests.football-data.org/1766.png
1767,Grêmio,FBP,https://crests.football-data.org/1767.png
1769,Palmeiras,PAL,https://crests.football-data.org/1769.png
1770,Botafogo,BOT,https://crests.football-data.org/1770.png
1771,Cruzeiro,CRU,https://crests.football-data.org/1771.png
1776,São Paulo,PAU,https://crests.football-data.org/1776.png
1777,Bahia,BAH,https://crests.football-data.org/1777.png
1778,Recife,REC,https://crests.football-data.org/1778.png
1779,Corinthians,COR,https://crests.football-data.org/1779.png
1780,Vasco da Gama,VAS,https://crests.football-data.org/1780.png
1782,Vitória,VIT,https://crests.football-data.org/1782.png
1783,Flamengo,FLA,https://crests.football-data.org/1783.png
1837,Ceará,CSC,https://crests.football-data.org/1837.png
3984,Fortaleza,FEC,https://crests.football-data.org/3984.png
4245,Juventude,JUV,https://crests.football-data.org/4245_large.png
4286,Bragantino,RBB,https://crests.football-data.org/4286.png
4364,Mirassol,MIR,https://crests.football-data.org/4364.png
6684,Internacional,SCI,https://crests.football-data.org/6684.png
6685,Santos,SAN,https://crests.football-data.org/6685.png
